REPORTING_PERIOD,MEASURE_TYPE,MEASURE,CODE,CODE_DESCRIPTION,MEASURE_VALUE
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,300,General Medicine,2.3
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,301,Gastroenterology,1.7
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,302,Endocrinology,3.5
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,303,Clinical Haematology,8.5
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,304,Clinical Physiology,0.4
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,305,Clinical Pharmacology,1.8
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,310,Audiological Medicine,1.3
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,311,Clinical Genetics,0.6
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,313,Clinical Immunology & Allergy,1.9
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,314,Rehabilitation,2.7
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,315,Palliative Medicine,4.8
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,317,Allergy,1.5
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,320,Cardiology,1.2
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,321,Paediatric Cardiology,3.2
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,325,Sports & Exercise Medicine,2.6
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,326,Acute Internal Medicine,0.8
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,330,Dermatology,1.6
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,340,Respiratory Medicine (Thoracic Medicine),1.9
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,350,Infectious Diseases,3.2
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,352,Tropical Medicine,1.2
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,360,Genitourinary Medicine,6.2
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,361,Nephrology,8.2
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,370,Medical Oncology,11.5
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,371,Nuclear Medicine,1.1
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,400,Neurology,1.8
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,401,Clinical Neuro-physiology,0.2
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,410,Rheumatology,4.3
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,420,Paediatrics,1.6
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,421,Paediatric Neurology,2.4
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,430,Geriatric Medicine,1.1
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,450,Dental Medicine Specialties,2.7
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,451,Special Care Dentistry,2.4
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,460,Medical Ophthalmology,3.6
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,499,"Non-UK Provider; specialty function not known, treatment mainly medical",0
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,501,Obstetrics,2.3
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,502,Gynaecology,1.2
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,504,Community Sexual & Reproductive Health,1.4
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,560,Midwife episode,4
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,600,General Medical Practice,0.3
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,601,General Dental Practice,5.5
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,700,Learning Disability (previously MH),6.9
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,710,Adult Mental Illness,6.1
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,711,Child & Adolescent Psychiatry,6.4
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,712,Forensic Psychiatry,5.7
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,713,Psychotherapy,6.1
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,715,Old Age Psychiatry,4.1
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,800,Clinical Oncology (previously Radiotherapy),8.4
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,810,Radiology,0.8
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,820,General Pathology,10.4
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,821,Blood Transfusion,11
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,822,Chemical Pathology,2
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,823,Haematology,7.4
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,824,Histopathology,3.8
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,830,Immunopathology,2
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,831,Medical Microbiology & Virology,2
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,833,Medical Microbiology (Microbiology & Bacteriology),1
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,834,Medical Virology,3.3
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,900,Community Medicine,2.4
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,901,Occupational Medicine,2.1
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,902,Community Health Services Dental,3.2
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,903,Public Health Medicine,1.4
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,950,Nursing episode,3.5
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,960,Allied Health Professional Episode,2.2
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,990,Joint Consultant Clinics (Retired 1 April 2004),1.4
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,&,Not Known,4.6
2324,Activity by Main Speciaity Code,Follow-up attendances for each first attendance,All,All,2.1
2324,Activity by Main Speciaity Code,Percentage of all attendances,100,General Surgery,4.7
2324,Activity by Main Speciaity Code,Percentage of all attendances,101,Urology,2.6
2324,Activity by Main Speciaity Code,Percentage of all attendances,107,Vascular Surgery,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,110,Trauma & Orthopaedics,7
2324,Activity by Main Speciaity Code,Percentage of all attendances,120,"Ear, Nose & Throat (ENT)",2.7
2324,Activity by Main Speciaity Code,Percentage of all attendances,130,Ophthalmology,8.5
2324,Activity by Main Speciaity Code,Percentage of all attendances,140,Oral Surgery,0.7
2324,Activity by Main Speciaity Code,Percentage of all attendances,141,Restorative Dentistry,0.2
2324,Activity by Main Speciaity Code,Percentage of all attendances,142,Paediatric Dentistry,0.1
2324,Activity by Main Speciaity Code,Percentage of all attendances,143,Orthodontics,0.6
2324,Activity by Main Speciaity Code,Percentage of all attendances,145,Oral & Maxillo Facial Surgery,0.6
2324,Activity by Main Speciaity Code,Percentage of all attendances,146,Endodontics,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,147,Periodontics,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,148,Prosthodontics,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,149,Surgical Dentistry,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,150,Neurosurgery,0.4
2324,Activity by Main Speciaity Code,Percentage of all attendances,160,Plastic Surgery,1
2324,Activity by Main Speciaity Code,Percentage of all attendances,170,Cardiothoracic Surgery,0.2
2324,Activity by Main Speciaity Code,Percentage of all attendances,171,Paediatric Surgery,0.1
2324,Activity by Main Speciaity Code,Percentage of all attendances,180,Accident & Emergency (A&E),0.2
2324,Activity by Main Speciaity Code,Percentage of all attendances,190,Anaesthetics,1.3
2324,Activity by Main Speciaity Code,Percentage of all attendances,192,Critical Care Medicine,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,300,General Medicine,3.9
2324,Activity by Main Speciaity Code,Percentage of all attendances,301,Gastroenterology,2
2324,Activity by Main Speciaity Code,Percentage of all attendances,302,Endocrinology,1
2324,Activity by Main Speciaity Code,Percentage of all attendances,303,Clinical Haematology,2.3
2324,Activity by Main Speciaity Code,Percentage of all attendances,304,Clinical Physiology,0.3
2324,Activity by Main Speciaity Code,Percentage of all attendances,305,Clinical Pharmacology,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,310,Audiological Medicine,0.5
2324,Activity by Main Speciaity Code,Percentage of all attendances,311,Clinical Genetics,0.1
2324,Activity by Main Speciaity Code,Percentage of all attendances,313,Clinical Immunology & Allergy,0.1
2324,Activity by Main Speciaity Code,Percentage of all attendances,314,Rehabilitation,0.3
2324,Activity by Main Speciaity Code,Percentage of all attendances,315,Palliative Medicine,0.1
2324,Activity by Main Speciaity Code,Percentage of all attendances,317,Allergy,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,320,Cardiology,3.4
2324,Activity by Main Speciaity Code,Percentage of all attendances,321,Paediatric Cardiology,0.1
2324,Activity by Main Speciaity Code,Percentage of all attendances,325,Sports & Exercise Medicine,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,326,Acute Internal Medicine,0.2
2324,Activity by Main Speciaity Code,Percentage of all attendances,330,Dermatology,3.2
2324,Activity by Main Speciaity Code,Percentage of all attendances,340,Respiratory Medicine (Thoracic Medicine),2
2324,Activity by Main Speciaity Code,Percentage of all attendances,350,Infectious Diseases,0.2
2324,Activity by Main Speciaity Code,Percentage of all attendances,352,Tropical Medicine,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,360,Genitourinary Medicine,0.1
2324,Activity by Main Speciaity Code,Percentage of all attendances,361,Nephrology,1
2324,Activity by Main Speciaity Code,Percentage of all attendances,370,Medical Oncology,1.9
2324,Activity by Main Speciaity Code,Percentage of all attendances,371,Nuclear Medicine,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,400,Neurology,1.4
2324,Activity by Main Speciaity Code,Percentage of all attendances,401,Clinical Neuro-physiology,0.2
2324,Activity by Main Speciaity Code,Percentage of all attendances,410,Rheumatology,1.7
2324,Activity by Main Speciaity Code,Percentage of all attendances,420,Paediatrics,2.7
2324,Activity by Main Speciaity Code,Percentage of all attendances,421,Paediatric Neurology,0.1
2324,Activity by Main Speciaity Code,Percentage of all attendances,430,Geriatric Medicine,0.4
2324,Activity by Main Speciaity Code,Percentage of all attendances,450,Dental Medicine Specialties,0.1
2324,Activity by Main Speciaity Code,Percentage of all attendances,451,Special Care Dentistry,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,460,Medical Ophthalmology,0.1
2324,Activity by Main Speciaity Code,Percentage of all attendances,499,"Non-UK Provider; specialty function not known, treatment mainly medical",0
2324,Activity by Main Speciaity Code,Percentage of all attendances,501,Obstetrics,2.7
2324,Activity by Main Speciaity Code,Percentage of all attendances,502,Gynaecology,3.5
2324,Activity by Main Speciaity Code,Percentage of all attendances,504,Community Sexual & Reproductive Health,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,560,Midwife episode,3.8
2324,Activity by Main Speciaity Code,Percentage of all attendances,600,General Medical Practice,0.1
2324,Activity by Main Speciaity Code,Percentage of all attendances,601,General Dental Practice,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,700,Learning Disability (previously MH),0.1
2324,Activity by Main Speciaity Code,Percentage of all attendances,710,Adult Mental Illness,1.2
2324,Activity by Main Speciaity Code,Percentage of all attendances,711,Child & Adolescent Psychiatry,0.6
2324,Activity by Main Speciaity Code,Percentage of all attendances,712,Forensic Psychiatry,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,713,Psychotherapy,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,715,Old Age Psychiatry,0.2
2324,Activity by Main Speciaity Code,Percentage of all attendances,800,Clinical Oncology (previously Radiotherapy),2.6
2324,Activity by Main Speciaity Code,Percentage of all attendances,810,Radiology,5.2
2324,Activity by Main Speciaity Code,Percentage of all attendances,820,General Pathology,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,821,Blood Transfusion,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,822,Chemical Pathology,0.1
2324,Activity by Main Speciaity Code,Percentage of all attendances,823,Haematology,0.3
2324,Activity by Main Speciaity Code,Percentage of all attendances,824,Histopathology,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,830,Immunopathology,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,831,Medical Microbiology & Virology,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,833,Medical Microbiology (Microbiology & Bacteriology),0
2324,Activity by Main Speciaity Code,Percentage of all attendances,834,Medical Virology,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,900,Community Medicine,0.3
2324,Activity by Main Speciaity Code,Percentage of all attendances,901,Occupational Medicine,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,902,Community Health Services Dental,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,903,Public Health Medicine,0
2324,Activity by Main Speciaity Code,Percentage of all attendances,950,Nursing episode,6.4
2324,Activity by Main Speciaity Code,Percentage of all attendances,960,Allied Health Professional Episode,11.7
2324,Activity by Main Speciaity Code,Percentage of all attendances,990,Joint Consultant Clinics (Retired 1 April 2004),0
2324,Activity by Main Speciaity Code,Percentage of all attendances,&,Not Known,0.6
2324,Activity by Main Speciaity Code,Percentage of all attendances,All,All,100
2324,Activity by Treatment Function,All Attendances,100,General Surgery,1963213
2324,Activity by Treatment Function,All Attendances,101,Urology,3091473
2324,Activity by Treatment Function,All Attendances,102,Transplantation Surgery,104112
2324,Activity by Treatment Function,All Attendances,103,Breast Surgery,1566962
2324,Activity by Treatment Function,All Attendances,104,Colorectal Surgery,1135361
2324,Activity by Treatment Function,All Attendances,105,Hepatobiliary & Pancreatic Surgery,93526
2324,Activity by Treatment Function,All Attendances,106,Upper Gastrointestinal Surgery,211265
2324,Activity by Treatment Function,All Attendances,107,Vascular Surgery,553658
2324,Activity by Treatment Function,All Attendances,108,Spinal Surgery Service,323282
2324,Activity by Treatment Function,All Attendances,109,Bariatric Surgery Service,35590
2324,Activity by Treatment Function,All Attendances,110,Trauma & Orthopaedics,6963016
2324,Activity by Treatment Function,All Attendances,111,Orthopaedic Service,65899
2324,Activity by Treatment Function,All Attendances,113,Endocrine Surgery Service,8819
2324,Activity by Treatment Function,All Attendances,115,Trauma Surgery Service,30925
2324,Activity by Treatment Function,All Attendances,120,"Ear, Nose & Throat (ENT)",2663131
2324,Activity by Treatment Function,All Attendances,130,Ophthalmology,8858272
2324,Activity by Treatment Function,All Attendances,140,Oral Surgery,732826
2324,Activity by Treatment Function,All Attendances,141,Restorative Dentistry,342365
2324,Activity by Treatment Function,All Attendances,142,Paediatric Dentistry,105957
2324,Activity by Treatment Function,All Attendances,143,Orthodontics,626791
2324,Activity by Treatment Function,All Attendances,144,Maxillo Facial Surgery,476900
2324,Activity by Treatment Function,All Attendances,145,Oral and Maxillofacial Surgery Service,121050
2324,Activity by Treatment Function,All Attendances,150,Neurosurgery,388763
2324,Activity by Treatment Function,All Attendances,160,Plastic Surgery,1025102
2324,Activity by Treatment Function,All Attendances,161,Burns Care,57786
2324,Activity by Treatment Function,All Attendances,170,Cardiothoracic Surgery,39802
2324,Activity by Treatment Function,All Attendances,171,Paediatric Surgery,157867
2324,Activity by Treatment Function,All Attendances,172,Cardiac Surgery,81706
2324,Activity by Treatment Function,All Attendances,173,Thoracic Surgery,82728
2324,Activity by Treatment Function,All Attendances,174,Cardiothoracic Transplantation,15250
2324,Activity by Treatment Function,All Attendances,180,Accident & Emergency (A&E),168328
2324,Activity by Treatment Function,All Attendances,190,Anaesthetics,1026898
2324,Activity by Treatment Function,All Attendances,191,Pain Management,703675
2324,Activity by Treatment Function,All Attendances,192,Critical Care Medicine,14887
2324,Activity by Treatment Function,All Attendances,211,Paediatric Urology,80406
2324,Activity by Treatment Function,All Attendances,212,Paediatric Transplantation Surgery,928
2324,Activity by Treatment Function,All Attendances,213,Paediatric Gastrointestinal Surgery,162
2324,Activity by Treatment Function,All Attendances,214,Paediatric Trauma and Orthopaedics,363791
2324,Activity by Treatment Function,All Attendances,215,Paediatric Ear Nose and Throat,185853
2324,Activity by Treatment Function,All Attendances,216,Paediatric Ophthalmology,380785
2324,Activity by Treatment Function,All Attendances,217,Paediatric Maxillo-facial Surgery,24021
2324,Activity by Treatment Function,All Attendances,218,Paediatric Neurosurgery,29242
2324,Activity by Treatment Function,All Attendances,219,Paediatric Plastic Surgery,95133
2324,Activity by Treatment Function,All Attendances,220,Paediatric Burns Care,39336
2324,Activity by Treatment Function,All Attendances,221,Paediatric Cardiac Surgery,2019
2324,Activity by Treatment Function,All Attendances,222,Paediatric Thoracic Surgery,299
2324,Activity by Treatment Function,All Attendances,223,Paediatric Epilepsy,57300
2324,Activity by Treatment Function,All Attendances,230,Paediatric Clinical Pharmacology Service,1
2324,Activity by Treatment Function,All Attendances,240,Paediatric Palliative Medicine Service,2379
2324,Activity by Treatment Function,All Attendances,241,Paediatric Pain Management,4548
2324,Activity by Treatment Function,All Attendances,242,Paediatric Intensive Care,7817
2324,Activity by Treatment Function,All Attendances,250,Paediatric Hepatology Service,146
2324,Activity by Treatment Function,All Attendances,251,Paediatric Gastroenterology,114582
2324,Activity by Treatment Function,All Attendances,252,Paediatric Endocrinology,101037
2324,Activity by Treatment Function,All Attendances,253,Paediatric Clinical Haematology,88009
2324,Activity by Treatment Function,All Attendances,254,Paediatric Audiological Medicine,86572
2324,Activity by Treatment Function,All Attendances,255,Paediatric Clinical Immunology and Allergy,96171
2324,Activity by Treatment Function,All Attendances,256,Paediatric Infectious Diseases,9943
2324,Activity by Treatment Function,All Attendances,257,Paediatric Dermatology,158435
2324,Activity by Treatment Function,All Attendances,258,Paediatric Respiratory Medicine,152299
2324,Activity by Treatment Function,All Attendances,259,Paediatric Nephrology,64025
2324,Activity by Treatment Function,All Attendances,260,Paediatric Medical Oncology,84225
2324,Activity by Treatment Function,All Attendances,261,Paediatric Metabolic Disease,17054
2324,Activity by Treatment Function,All Attendances,262,Paediatric Rheumatology,51279
2324,Activity by Treatment Function,All Attendances,263,Paediatric Diabetic Medicine,132295
2324,Activity by Treatment Function,All Attendances,264,Paediatric Cystic Fibrosis,18095
2324,Activity by Treatment Function,All Attendances,270,Paediatric Emergency Medicine Service,13
2324,Activity by Treatment Function,All Attendances,280,Paediatric Interventional Radiology,3149
2324,Activity by Treatment Function,All Attendances,290,Community Paediatrics,468485
2324,Activity by Treatment Function,All Attendances,291,Paediatric Neuro-disability,78971
2324,Activity by Treatment Function,All Attendances,300,General Medicine,1190353
2324,Activity by Treatment Function,All Attendances,301,Gastroenterology,2226878
2324,Activity by Treatment Function,All Attendances,302,Endocrinology,820163
2324,Activity by Treatment Function,All Attendances,303,Clinical Haematology,2240247
2324,Activity by Treatment Function,All Attendances,304,Clinical Physiology,645181
2324,Activity by Treatment Function,All Attendances,305,Clinical Pharmacology,10841
2324,Activity by Treatment Function,All Attendances,306,Hepatology,449137
2324,Activity by Treatment Function,All Attendances,307,Diabetic Medicine,1222226
2324,Activity by Treatment Function,All Attendances,308,Bone & Marrow Transplantation,35580
2324,Activity by Treatment Function,All Attendances,309,Haemophilia,47741
2324,Activity by Treatment Function,All Attendances,310,Audiological Medicine,368756
2324,Activity by Treatment Function,All Attendances,311,Clinical Genetics,128451
2324,Activity by Treatment Function,All Attendances,313,Clinical Immunology & Allergy,47976
2324,Activity by Treatment Function,All Attendances,314,Rehabilitation,307564
2324,Activity by Treatment Function,All Attendances,315,Palliative Medicine,164103
2324,Activity by Treatment Function,All Attendances,316,Clinical Immunology,35109
2324,Activity by Treatment Function,All Attendances,317,Allergy,91758
2324,Activity by Treatment Function,All Attendances,318,Intermediate Care,844984
2324,Activity by Treatment Function,All Attendances,319,Respite Care,2
2324,Activity by Treatment Function,All Attendances,320,Cardiology,4113936
2324,Activity by Treatment Function,All Attendances,321,Paediatric Cardiology,195190
2324,Activity by Treatment Function,All Attendances,322,Clinical Microbiology,28659
2324,Activity by Treatment Function,All Attendances,323,Spinal Injuries,22919
2324,Activity by Treatment Function,All Attendances,324,Anticoagulant Service,692618
2324,Activity by Treatment Function,All Attendances,325,Sport & Exercise Medicine,12151
2324,Activity by Treatment Function,All Attendances,326,Acute Internal Medicine Service,83414
2324,Activity by Treatment Function,All Attendances,327,Cardiac Rehabilitation,159317
2324,Activity by Treatment Function,All Attendances,328,Stroke Medicine,117541
2324,Activity by Treatment Function,All Attendances,329,Transient Ischaemic Attack,107693
2324,Activity by Treatment Function,All Attendances,330,Dermatology,3684101
2324,Activity by Treatment Function,All Attendances,331,Congenital Heart Disease Service ,51254
2324,Activity by Treatment Function,All Attendances,335,Inherited Metabolic Medicine Service,6166
2324,Activity by Treatment Function,All Attendances,340,Respiratory Medicine (Thoracic Medicine),2309729
2324,Activity by Treatment Function,All Attendances,341,Respiratory Physiology,646111
2324,Activity by Treatment Function,All Attendances,342,Programmed Pulmonary Rehabilitation,54972
2324,Activity by Treatment Function,All Attendances,343,Adult Cystic Fibrosis,21652
2324,Activity by Treatment Function,All Attendances,344,Complex Specialised Rehabilitation Service,2407
2324,Activity by Treatment Function,All Attendances,345,Specialist Rehabilitation Service,22568
2324,Activity by Treatment Function,All Attendances,346,Local Specialist Rehabilitation Service,4170
2324,Activity by Treatment Function,All Attendances,347,Sleep Medicine Service,72158
2324,Activity by Treatment Function,All Attendances,348,Post-COVID-19 Syndrome Service,15510
2324,Activity by Treatment Function,All Attendances,350,Infectious Diseases,224288
2324,Activity by Treatment Function,All Attendances,352,Tropical Medicine,10018
2324,Activity by Treatment Function,All Attendances,360,Genitourinary Medicine,136143
2324,Activity by Treatment Function,All Attendances,361,Nephrology,1115042
2324,Activity by Treatment Function,All Attendances,370,Medical Oncology,2421766
2324,Activity by Treatment Function,All Attendances,371,Nuclear Medicine,40213
2324,Activity by Treatment Function,All Attendances,400,Neurology,1625361
2324,Activity by Treatment Function,All Attendances,401,Clinical Neuro-physiology,251918
2324,Activity by Treatment Function,All Attendances,410,Rheumatology,2181738
2324,Activity by Treatment Function,All Attendances,420,Paediatrics,1798557
2324,Activity by Treatment Function,All Attendances,421,Paediatric Neurology,96239
2324,Activity by Treatment Function,All Attendances,422,Neonatology,88103
2324,Activity by Treatment Function,All Attendances,424,Well Babies,22920
2324,Activity by Treatment Function,All Attendances,430,Geriatric Medicine,350105
2324,Activity by Treatment Function,All Attendances,431,Orthogeriatric Medicine Service,178
2324,Activity by Treatment Function,All Attendances,450,Dental Medicine Specialties,79655
2324,Activity by Treatment Function,All Attendances,451,Special Care Dentistry Service,7310
2324,Activity by Treatment Function,All Attendances,460,Medical Ophthalmology,138415
2324,Activity by Treatment Function,All Attendances,461,Ophthalmic and Vision Science Service,9462
2324,Activity by Treatment Function,All Attendances,499,"Non-UK Provider; specialty function not known, treatment mainly medical",1
2324,Activity by Treatment Function,All Attendances,501,Obstetrics,3598171
2324,Activity by Treatment Function,All Attendances,502,Gynaecology,3577454
2324,Activity by Treatment Function,All Attendances,503,Gynaecological Oncology,258391
2324,Activity by Treatment Function,All Attendances,505,Fetal Medicine Service,73603
2324,Activity by Treatment Function,All Attendances,560,Midwife episode,3718559
2324,Activity by Treatment Function,All Attendances,650,Physiotherapy,4883779
2324,Activity by Treatment Function,All Attendances,651,Occupational Therapy,567231
2324,Activity by Treatment Function,All Attendances,652,Speech and Language Therapy,238147
2324,Activity by Treatment Function,All Attendances,653,Podiatry,512922
2324,Activity by Treatment Function,All Attendances,654,Dietetics,702994
2324,Activity by Treatment Function,All Attendances,655,Orthoptics,440975
2324,Activity by Treatment Function,All Attendances,656,Clinical Psychology,176465
2324,Activity by Treatment Function,All Attendances,657,Prosthetics,21962
2324,Activity by Treatment Function,All Attendances,658,Orthotics,307558
2324,Activity by Treatment Function,All Attendances,659,Dramatherapy,805
2324,Activity by Treatment Function,All Attendances,660,Art Therapy,1
2324,Activity by Treatment Function,All Attendances,661,Music Therapy,507
2324,Activity by Treatment Function,All Attendances,662,Optometry,86867
2324,Activity by Treatment Function,All Attendances,663,Podiatric Surgery,41026
2324,Activity by Treatment Function,All Attendances,670,Urological Physiology Service,3642
2324,Activity by Treatment Function,All Attendances,673,Vascular Physiology Service,4
2324,Activity by Treatment Function,All Attendances,675,Cardiac Physiology Service,91657
2324,Activity by Treatment Function,All Attendances,677,Gastrointestinal Physiology Service,13400
2324,Activity by Treatment Function,All Attendances,700,Learning Disability (previously MH),70603
2324,Activity by Treatment Function,All Attendances,710,Adult Mental Illness,1217263
2324,Activity by Treatment Function,All Attendances,711,Child & Adolescent Psychiatry,671441
2324,Activity by Treatment Function,All Attendances,712,Forensic Psychiatry,21025
2324,Activity by Treatment Function,All Attendances,713,Psychotherapy,44147
2324,Activity by Treatment Function,All Attendances,715,Old Age Psychiatry,179594
2324,Activity by Treatment Function,All Attendances,720,Eating Disorders,27897
2324,Activity by Treatment Function,All Attendances,721,Addiction Services,694
2324,Activity by Treatment Function,All Attendances,722,Liaison Psychiatry,15493
2324,Activity by Treatment Function,All Attendances,723,Psychiatric Intensive Care,24
2324,Activity by Treatment Function,All Attendances,724,Perinatal Psychiatry,10335
2324,Activity by Treatment Function,All Attendances,725,Mental Health Recovery and Rehabilitation Service,3810
2324,Activity by Treatment Function,All Attendances,726,Mental Health Dual Diagnosis Service,1
2324,Activity by Treatment Function,All Attendances,727,Dementia Assessment Service,7037
2324,Activity by Treatment Function,All Attendances,730,Neuropsychiatry Service,4759
2324,Activity by Treatment Function,All Attendances,800,Clinical Oncology (previously Radiotherapy),2918453
2324,Activity by Treatment Function,All Attendances,811,Interventional Radiology,131979
2324,Activity by Treatment Function,All Attendances,812,Diagnostic Imaging,6736717
2324,Activity by Treatment Function,All Attendances,822,Chemical Pathology,79350
2324,Activity by Treatment Function,All Attendances,834,Medical Virology,12807
2324,Activity by Treatment Function,All Attendances,840,Audiology,1877443
2324,Activity by Treatment Function,All Attendances,920,Diabetic Education Service,3147
2324,Activity by Treatment Function,All Attendances,990,Retired,2242
2324,Activity by Treatment Function,All Attendances,&,Not Known,547728
2324,Activity by Treatment Function,All Attendances,All,All,104634817
2324,Activity by Treatment Function,Attended but first/subsequent/tele unknown,100,General Surgery,34
2324,Activity by Treatment Function,Attended but first/subsequent/tele unknown,101,Urology,57
2324,Activity by Treatment Function,Attended but first/subsequent/tele unknown,103,Breast Surgery,4
2324,Activity by Treatment Function,Attended but first/subsequent/tele unknown,104,Colorectal Surgery,17
2324,Activity by Treatment Function,Attended but first/subsequent/tele unknown,106,Upper Gastrointestinal Surgery,2
2324,Activity by Treatment Function,Attended but first/subsequent/tele unknown,107,Vascular Surgery,1
2324,Activity by Treatment Function,Attended but first/subsequent/tele unknown,110,Trauma & Orthopaedics,107
2324,Activity by Treatment Function,Attended but first/subsequent/tele unknown,120,"Ear, Nose & Throat (ENT)",75
2324,Activity by Treatment Function,Attended but first/subsequent/tele unknown,130,Ophthalmology,1098
2324,Activity by Treatment Function,Attended but first/subsequent/tele unknown,140,Oral Surgery,2
2324,Activity by Treatment Function,Attended but first/subsequent/tele unknown,141,Restorative Dentistry,6
2324,Activity by Treatment Function,Attended but first/subsequent/tele unknown,142,Paediatric Dentistry,1
2324,Activity by Treatment Function,Attended but first/subsequent/tele unknown,143,Orthodontics,10
2324,Activity by Treatment Function,Attended but first/subsequent/tele unknown,145,Oral and Maxillofacial Surgery Service,17
