REPORTING_PERIOD,MEASURE_TYPE,MEASURE,MAINSPEF_CODE,MAINSPEF_DESCRIPTION,MEASURE_VALUE
2324,All Attendances by Age and Gender,17 Male,450,Dental Medicine Specialties,612
2324,All Attendances by Age and Gender,17 Male,451,Special Care Dentistry,80
2324,All Attendances by Age and Gender,17 Male,460,Medical Ophthalmology,100
2324,All Attendances by Age and Gender,17 Male,501,Obstetrics,11
2324,All Attendances by Age and Gender,17 Male,502,Gynaecology,92
2324,All Attendances by Age and Gender,17 Male,560,Midwife episode,7
2324,All Attendances by Age and Gender,17 Male,600,General Medical Practice,271
2324,All Attendances by Age and Gender,17 Male,601,General Dental Practice,239
2324,All Attendances by Age and Gender,17 Male,700,Learning Disability (previously MH),554
2324,All Attendances by Age and Gender,17 Male,710,Adult Mental Illness,2797
2324,All Attendances by Age and Gender,17 Male,711,Child & Adolescent Psychiatry,16530
2324,All Attendances by Age and Gender,17 Male,712,Forensic Psychiatry,119
2324,All Attendances by Age and Gender,17 Male,713,Psychotherapy,55
2324,All Attendances by Age and Gender,17 Male,715,Old Age Psychiatry,25
2324,All Attendances by Age and Gender,17 Male,800,Clinical Oncology (previously Radiotherapy),505
2324,All Attendances by Age and Gender,17 Male,810,Radiology,9329
2324,All Attendances by Age and Gender,17 Male,820,General Pathology,26
2324,All Attendances by Age and Gender,17 Male,822,Chemical Pathology,63
2324,All Attendances by Age and Gender,17 Male,823,Haematology,384
2324,All Attendances by Age and Gender,17 Male,824,Histopathology,3
2324,All Attendances by Age and Gender,17 Male,830,Immunopathology,33
2324,All Attendances by Age and Gender,17 Male,831,Medical Microbiology & Virology,4
2324,All Attendances by Age and Gender,17 Male,833,Medical Microbiology (Microbiology & Bacteriology),5
2324,All Attendances by Age and Gender,17 Male,834,Medical Virology,19
2324,All Attendances by Age and Gender,17 Male,900,Community Medicine,1093
2324,All Attendances by Age and Gender,17 Male,901,Occupational Medicine,139
2324,All Attendances by Age and Gender,17 Male,902,Community Health Services Dental,6
2324,All Attendances by Age and Gender,17 Male,903,Public Health Medicine,111
2324,All Attendances by Age and Gender,17 Male,950,Nursing episode,12620
2324,All Attendances by Age and Gender,17 Male,960,Allied Health Professional Episode,33515
2324,All Attendances by Age and Gender,17 Male,990,Joint Consultant Clinics (Retired 1 April 2004),4
2324,All Attendances by Age and Gender,18 All Genders,100,General Surgery,13765
2324,All Attendances by Age and Gender,18 All Genders,101,Urology,6516
2324,All Attendances by Age and Gender,18 All Genders,107,Vascular Surgery,24
2324,All Attendances by Age and Gender,18 All Genders,110,Trauma & Orthopaedics,46288
2324,All Attendances by Age and Gender,18 All Genders,120,"Ear, Nose & Throat (ENT)",17858
2324,All Attendances by Age and Gender,18 All Genders,130,Ophthalmology,18430
2324,All Attendances by Age and Gender,18 All Genders,140,Oral Surgery,6889
2324,All Attendances by Age and Gender,18 All Genders,141,Restorative Dentistry,3122
2324,All Attendances by Age and Gender,18 All Genders,142,Paediatric Dentistry,346
2324,All Attendances by Age and Gender,18 All Genders,143,Orthodontics,48698
2324,All Attendances by Age and Gender,18 All Genders,145,Oral & Maxillo Facial Surgery,5332
2324,All Attendances by Age and Gender,18 All Genders,146,Endodontics,55
2324,All Attendances by Age and Gender,18 All Genders,147,Periodontics,78
2324,All Attendances by Age and Gender,18 All Genders,148,Prosthodontics,15
2324,All Attendances by Age and Gender,18 All Genders,149,Surgical Dentistry,7
2324,All Attendances by Age and Gender,18 All Genders,150,Neurosurgery,1719
2324,All Attendances by Age and Gender,18 All Genders,160,Plastic Surgery,7380
2324,All Attendances by Age and Gender,18 All Genders,170,Cardiothoracic Surgery,597
2324,All Attendances by Age and Gender,18 All Genders,171,Paediatric Surgery,667
2324,All Attendances by Age and Gender,18 All Genders,180,Accident & Emergency (A&E),1802
2324,All Attendances by Age and Gender,18 All Genders,190,Anaesthetics,4461
2324,All Attendances by Age and Gender,18 All Genders,192,Critical Care Medicine,106
2324,All Attendances by Age and Gender,18 All Genders,300,General Medicine,15578
2324,All Attendances by Age and Gender,18 All Genders,301,Gastroenterology,10560
2324,All Attendances by Age and Gender,18 All Genders,302,Endocrinology,6428
2324,All Attendances by Age and Gender,18 All Genders,303,Clinical Haematology,7094
2324,All Attendances by Age and Gender,18 All Genders,304,Clinical Physiology,966
2324,All Attendances by Age and Gender,18 All Genders,305,Clinical Pharmacology,45
2324,All Attendances by Age and Gender,18 All Genders,310,Audiological Medicine,1976
2324,All Attendances by Age and Gender,18 All Genders,311,Clinical Genetics,960
2324,All Attendances by Age and Gender,18 All Genders,313,Clinical Immunology & Allergy,1702
2324,All Attendances by Age and Gender,18 All Genders,314,Rehabilitation,1737
2324,All Attendances by Age and Gender,18 All Genders,315,Palliative Medicine,228
2324,All Attendances by Age and Gender,18 All Genders,317,Allergy,389
2324,All Attendances by Age and Gender,18 All Genders,320,Cardiology,12008
2324,All Attendances by Age and Gender,18 All Genders,321,Paediatric Cardiology,1600
2324,All Attendances by Age and Gender,18 All Genders,325,Sports & Exercise Medicine,67
2324,All Attendances by Age and Gender,18 All Genders,326,Acute Internal Medicine,1280
2324,All Attendances by Age and Gender,18 All Genders,330,Dermatology,28059
2324,All Attendances by Age and Gender,18 All Genders,340,Respiratory Medicine (Thoracic Medicine),6075
2324,All Attendances by Age and Gender,18 All Genders,350,Infectious Diseases,706
2324,All Attendances by Age and Gender,18 All Genders,352,Tropical Medicine,4
2324,All Attendances by Age and Gender,18 All Genders,360,Genitourinary Medicine,402
2324,All Attendances by Age and Gender,18 All Genders,361,Nephrology,3688
2324,All Attendances by Age and Gender,18 All Genders,370,Medical Oncology,1323
2324,All Attendances by Age and Gender,18 All Genders,371,Nuclear Medicine,30
2324,All Attendances by Age and Gender,18 All Genders,400,Neurology,12608
2324,All Attendances by Age and Gender,18 All Genders,401,Clinical Neuro-physiology,1223
2324,All Attendances by Age and Gender,18 All Genders,410,Rheumatology,5679
2324,All Attendances by Age and Gender,18 All Genders,420,Paediatrics,19322
2324,All Attendances by Age and Gender,18 All Genders,421,Paediatric Neurology,602
2324,All Attendances by Age and Gender,18 All Genders,430,Geriatric Medicine,379
2324,All Attendances by Age and Gender,18 All Genders,450,Dental Medicine Specialties,1263
2324,All Attendances by Age and Gender,18 All Genders,451,Special Care Dentistry,123
2324,All Attendances by Age and Gender,18 All Genders,460,Medical Ophthalmology,167
2324,All Attendances by Age and Gender,18 All Genders,501,Obstetrics,19507
2324,All Attendances by Age and Gender,18 All Genders,502,Gynaecology,18578
2324,All Attendances by Age and Gender,18 All Genders,504,Community Sexual & Reproductive Health,6
2324,All Attendances by Age and Gender,18 All Genders,560,Midwife episode,23318
2324,All Attendances by Age and Gender,18 All Genders,600,General Medical Practice,627
2324,All Attendances by Age and Gender,18 All Genders,601,General Dental Practice,1244
2324,All Attendances by Age and Gender,18 All Genders,700,Learning Disability (previously MH),1689
2324,All Attendances by Age and Gender,18 All Genders,710,Adult Mental Illness,20331
2324,All Attendances by Age and Gender,18 All Genders,711,Child & Adolescent Psychiatry,15253
2324,All Attendances by Age and Gender,18 All Genders,712,Forensic Psychiatry,155
2324,All Attendances by Age and Gender,18 All Genders,713,Psychotherapy,240
2324,All Attendances by Age and Gender,18 All Genders,715,Old Age Psychiatry,107
2324,All Attendances by Age and Gender,18 All Genders,800,Clinical Oncology (previously Radiotherapy),1065
2324,All Attendances by Age and Gender,18 All Genders,810,Radiology,22876
2324,All Attendances by Age and Gender,18 All Genders,820,General Pathology,71
2324,All Attendances by Age and Gender,18 All Genders,822,Chemical Pathology,199
2324,All Attendances by Age and Gender,18 All Genders,823,Haematology,782
2324,All Attendances by Age and Gender,18 All Genders,824,Histopathology,43
2324,All Attendances by Age and Gender,18 All Genders,830,Immunopathology,140
2324,All Attendances by Age and Gender,18 All Genders,831,Medical Microbiology & Virology,2
2324,All Attendances by Age and Gender,18 All Genders,833,Medical Microbiology (Microbiology & Bacteriology),7
2324,All Attendances by Age and Gender,18 All Genders,834,Medical Virology,81
2324,All Attendances by Age and Gender,18 All Genders,900,Community Medicine,1144
2324,All Attendances by Age and Gender,18 All Genders,901,Occupational Medicine,141
2324,All Attendances by Age and Gender,18 All Genders,902,Community Health Services Dental,7
2324,All Attendances by Age and Gender,18 All Genders,950,Nursing episode,24993
2324,All Attendances by Age and Gender,18 All Genders,960,Allied Health Professional Episode,55284
2324,All Attendances by Age and Gender,18 All Genders,990,Joint Consultant Clinics (Retired 1 April 2004),2
2324,All Attendances by Age and Gender,18 Female,100,General Surgery,8531
2324,All Attendances by Age and Gender,18 Female,101,Urology,2061
2324,All Attendances by Age and Gender,18 Female,107,Vascular Surgery,13
2324,All Attendances by Age and Gender,18 Female,110,Trauma & Orthopaedics,16965
2324,All Attendances by Age and Gender,18 Female,120,"Ear, Nose & Throat (ENT)",9162
2324,All Attendances by Age and Gender,18 Female,130,Ophthalmology,9724
2324,All Attendances by Age and Gender,18 Female,140,Oral Surgery,3708
2324,All Attendances by Age and Gender,18 Female,141,Restorative Dentistry,1631
2324,All Attendances by Age and Gender,18 Female,142,Paediatric Dentistry,180
2324,All Attendances by Age and Gender,18 Female,143,Orthodontics,27156
2324,All Attendances by Age and Gender,18 Female,145,Oral & Maxillo Facial Surgery,2873
2324,All Attendances by Age and Gender,18 Female,146,Endodontics,27
2324,All Attendances by Age and Gender,18 Female,147,Periodontics,54
2324,All Attendances by Age and Gender,18 Female,148,Prosthodontics,5
2324,All Attendances by Age and Gender,18 Female,149,Surgical Dentistry,4
2324,All Attendances by Age and Gender,18 Female,150,Neurosurgery,860
2324,All Attendances by Age and Gender,18 Female,160,Plastic Surgery,3087
2324,All Attendances by Age and Gender,18 Female,170,Cardiothoracic Surgery,160
2324,All Attendances by Age and Gender,18 Female,171,Paediatric Surgery,290
2324,All Attendances by Age and Gender,18 Female,180,Accident & Emergency (A&E),995
2324,All Attendances by Age and Gender,18 Female,190,Anaesthetics,2566
2324,All Attendances by Age and Gender,18 Female,192,Critical Care Medicine,48
2324,All Attendances by Age and Gender,18 Female,300,General Medicine,8861
2324,All Attendances by Age and Gender,18 Female,301,Gastroenterology,5505
2324,All Attendances by Age and Gender,18 Female,302,Endocrinology,3614
2324,All Attendances by Age and Gender,18 Female,303,Clinical Haematology,3475
2324,All Attendances by Age and Gender,18 Female,304,Clinical Physiology,581
2324,All Attendances by Age and Gender,18 Female,305,Clinical Pharmacology,24
2324,All Attendances by Age and Gender,18 Female,310,Audiological Medicine,1041
2324,All Attendances by Age and Gender,18 Female,311,Clinical Genetics,441
2324,All Attendances by Age and Gender,18 Female,313,Clinical Immunology & Allergy,879
2324,All Attendances by Age and Gender,18 Female,314,Rehabilitation,802
2324,All Attendances by Age and Gender,18 Female,315,Palliative Medicine,120
2324,All Attendances by Age and Gender,18 Female,317,Allergy,155
2324,All Attendances by Age and Gender,18 Female,320,Cardiology,6230
2324,All Attendances by Age and Gender,18 Female,321,Paediatric Cardiology,687
2324,All Attendances by Age and Gender,18 Female,325,Sports & Exercise Medicine,22
2324,All Attendances by Age and Gender,18 Female,326,Acute Internal Medicine,732
2324,All Attendances by Age and Gender,18 Female,330,Dermatology,15428
2324,All Attendances by Age and Gender,18 Female,340,Respiratory Medicine (Thoracic Medicine),3030
2324,All Attendances by Age and Gender,18 Female,350,Infectious Diseases,346
2324,All Attendances by Age and Gender,18 Female,352,Tropical Medicine,1
2324,All Attendances by Age and Gender,18 Female,360,Genitourinary Medicine,270
2324,All Attendances by Age and Gender,18 Female,361,Nephrology,1576
2324,All Attendances by Age and Gender,18 Female,370,Medical Oncology,676
2324,All Attendances by Age and Gender,18 Female,371,Nuclear Medicine,20
2324,All Attendances by Age and Gender,18 Female,400,Neurology,7308
2324,All Attendances by Age and Gender,18 Female,401,Clinical Neuro-physiology,750
2324,All Attendances by Age and Gender,18 Female,410,Rheumatology,3987
2324,All Attendances by Age and Gender,18 Female,420,Paediatrics,9463
2324,All Attendances by Age and Gender,18 Female,421,Paediatric Neurology,291
2324,All Attendances by Age and Gender,18 Female,430,Geriatric Medicine,245
2324,All Attendances by Age and Gender,18 Female,450,Dental Medicine Specialties,715
2324,All Attendances by Age and Gender,18 Female,451,Special Care Dentistry,48
2324,All Attendances by Age and Gender,18 Female,460,Medical Ophthalmology,98
2324,All Attendances by Age and Gender,18 Female,501,Obstetrics,19446
2324,All Attendances by Age and Gender,18 Female,502,Gynaecology,18407
2324,All Attendances by Age and Gender,18 Female,504,Community Sexual & Reproductive Health,6
2324,All Attendances by Age and Gender,18 Female,560,Midwife episode,23254
2324,All Attendances by Age and Gender,18 Female,600,General Medical Practice,393
2324,All Attendances by Age and Gender,18 Female,601,General Dental Practice,240
2324,All Attendances by Age and Gender,18 Female,700,Learning Disability (previously MH),620
2324,All Attendances by Age and Gender,18 Female,710,Adult Mental Illness,14000
2324,All Attendances by Age and Gender,18 Female,711,Child & Adolescent Psychiatry,10451
2324,All Attendances by Age and Gender,18 Female,712,Forensic Psychiatry,54
2324,All Attendances by Age and Gender,18 Female,713,Psychotherapy,183
2324,All Attendances by Age and Gender,18 Female,715,Old Age Psychiatry,72
2324,All Attendances by Age and Gender,18 Female,800,Clinical Oncology (previously Radiotherapy),495
2324,All Attendances by Age and Gender,18 Female,810,Radiology,13519
2324,All Attendances by Age and Gender,18 Female,820,General Pathology,40
2324,All Attendances by Age and Gender,18 Female,822,Chemical Pathology,100
2324,All Attendances by Age and Gender,18 Female,823,Haematology,389
2324,All Attendances by Age and Gender,18 Female,824,Histopathology,10
2324,All Attendances by Age and Gender,18 Female,830,Immunopathology,99
2324,All Attendances by Age and Gender,18 Female,833,Medical Microbiology (Microbiology & Bacteriology),4
2324,All Attendances by Age and Gender,18 Female,834,Medical Virology,55
2324,All Attendances by Age and Gender,18 Female,900,Community Medicine,590
2324,All Attendances by Age and Gender,18 Female,901,Occupational Medicine,32
2324,All Attendances by Age and Gender,18 Female,902,Community Health Services Dental,1
2324,All Attendances by Age and Gender,18 Female,950,Nursing episode,13600
2324,All Attendances by Age and Gender,18 Female,960,Allied Health Professional Episode,29722
2324,All Attendances by Age and Gender,18 Male,100,General Surgery,5177
2324,All Attendances by Age and Gender,18 Male,101,Urology,4380
2324,All Attendances by Age and Gender,18 Male,107,Vascular Surgery,11
2324,All Attendances by Age and Gender,18 Male,110,Trauma & Orthopaedics,29101
2324,All Attendances by Age and Gender,18 Male,120,"Ear, Nose & Throat (ENT)",8619
2324,All Attendances by Age and Gender,18 Male,130,Ophthalmology,8579
2324,All Attendances by Age and Gender,18 Male,140,Oral Surgery,3119
2324,All Attendances by Age and Gender,18 Male,141,Restorative Dentistry,1424
2324,All Attendances by Age and Gender,18 Male,142,Paediatric Dentistry,163
2324,All Attendances by Age and Gender,18 Male,143,Orthodontics,21457
2324,All Attendances by Age and Gender,18 Male,145,Oral & Maxillo Facial Surgery,2449
2324,All Attendances by Age and Gender,18 Male,146,Endodontics,27
2324,All Attendances by Age and Gender,18 Male,147,Periodontics,24
2324,All Attendances by Age and Gender,18 Male,148,Prosthodontics,7
2324,All Attendances by Age and Gender,18 Male,149,Surgical Dentistry,3
2324,All Attendances by Age and Gender,18 Male,150,Neurosurgery,853
2324,All Attendances by Age and Gender,18 Male,160,Plastic Surgery,4231
2324,All Attendances by Age and Gender,18 Male,170,Cardiothoracic Surgery,361
2324,All Attendances by Age and Gender,18 Male,171,Paediatric Surgery,361
2324,All Attendances by Age and Gender,18 Male,180,Accident & Emergency (A&E),801
2324,All Attendances by Age and Gender,18 Male,190,Anaesthetics,1846
2324,All Attendances by Age and Gender,18 Male,192,Critical Care Medicine,51
2324,All Attendances by Age and Gender,18 Male,300,General Medicine,6581
2324,All Attendances by Age and Gender,18 Male,301,Gastroenterology,4996
2324,All Attendances by Age and Gender,18 Male,302,Endocrinology,2675
2324,All Attendances by Age and Gender,18 Male,303,Clinical Haematology,3587
2324,All Attendances by Age and Gender,18 Male,304,Clinical Physiology,385
2324,All Attendances by Age and Gender,18 Male,305,Clinical Pharmacology,21
2324,All Attendances by Age and Gender,18 Male,310,Audiological Medicine,891
2324,All Attendances by Age and Gender,18 Male,311,Clinical Genetics,356
2324,All Attendances by Age and Gender,18 Male,313,Clinical Immunology & Allergy,819
2324,All Attendances by Age and Gender,18 Male,314,Rehabilitation,901
2324,All Attendances by Age and Gender,18 Male,315,Palliative Medicine,108
2324,All Attendances by Age and Gender,18 Male,317,Allergy,132
2324,All Attendances by Age and Gender,18 Male,320,Cardiology,5036
2324,All Attendances by Age and Gender,18 Male,321,Paediatric Cardiology,715
2324,All Attendances by Age and Gender,18 Male,325,Sports & Exercise Medicine,45
2324,All Attendances by Age and Gender,18 Male,326,Acute Internal Medicine,543
2324,All Attendances by Age and Gender,18 Male,330,Dermatology,12297
2324,All Attendances by Age and Gender,18 Male,340,Respiratory Medicine (Thoracic Medicine),2798
2324,All Attendances by Age and Gender,18 Male,350,Infectious Diseases,357
2324,All Attendances by Age and Gender,18 Male,352,Tropical Medicine,3
2324,All Attendances by Age and Gender,18 Male,360,Genitourinary Medicine,132
2324,All Attendances by Age and Gender,18 Male,361,Nephrology,2087
2324,All Attendances by Age and Gender,18 Male,370,Medical Oncology,646
2324,All Attendances by Age and Gender,18 Male,371,Nuclear Medicine,10
2324,All Attendances by Age and Gender,18 Male,400,Neurology,5204
2324,All Attendances by Age and Gender,18 Male,401,Clinical Neuro-physiology,464
2324,All Attendances by Age and Gender,18 Male,410,Rheumatology,1641
2324,All Attendances by Age and Gender,18 Male,420,Paediatrics,9646
2324,All Attendances by Age and Gender,18 Male,421,Paediatric Neurology,306
2324,All Attendances by Age and Gender,18 Male,430,Geriatric Medicine,133
2324,All Attendances by Age and Gender,18 Male,450,Dental Medicine Specialties,544
2324,All Attendances by Age and Gender,18 Male,451,Special Care Dentistry,72
2324,All Attendances by Age and Gender,18 Male,460,Medical Ophthalmology,65
2324,All Attendances by Age and Gender,18 Male,501,Obstetrics,23
2324,All Attendances by Age and Gender,18 Male,502,Gynaecology,127
2324,All Attendances by Age and Gender,18 Male,560,Midwife episode,9
2324,All Attendances by Age and Gender,18 Male,600,General Medical Practice,234
2324,All Attendances by Age and Gender,18 Male,601,General Dental Practice,169
2324,All Attendances by Age and Gender,18 Male,700,Learning Disability (previously MH),1069
2324,All Attendances by Age and Gender,18 Male,710,Adult Mental Illness,6217
2324,All Attendances by Age and Gender,18 Male,711,Child & Adolescent Psychiatry,4705
2324,All Attendances by Age and Gender,18 Male,712,Forensic Psychiatry,101
2324,All Attendances by Age and Gender,18 Male,713,Psychotherapy,57
2324,All Attendances by Age and Gender,18 Male,715,Old Age Psychiatry,33
2324,All Attendances by Age and Gender,18 Male,800,Clinical Oncology (previously Radiotherapy),570
2324,All Attendances by Age and Gender,18 Male,810,Radiology,8600
2324,All Attendances by Age and Gender,18 Male,820,General Pathology,31
2324,All Attendances by Age and Gender,18 Male,822,Chemical Pathology,83
2324,All Attendances by Age and Gender,18 Male,823,Haematology,343
2324,All Attendances by Age and Gender,18 Male,824,Histopathology,23
2324,All Attendances by Age and Gender,18 Male,830,Immunopathology,41
2324,All Attendances by Age and Gender,18 Male,831,Medical Microbiology & Virology,2
2324,All Attendances by Age and Gender,18 Male,833,Medical Microbiology (Microbiology & Bacteriology),3
2324,All Attendances by Age and Gender,18 Male,834,Medical Virology,26
2324,All Attendances by Age and Gender,18 Male,900,Community Medicine,554
2324,All Attendances by Age and Gender,18 Male,901,Occupational Medicine,108
2324,All Attendances by Age and Gender,18 Male,902,Community Health Services Dental,6
2324,All Attendances by Age and Gender,18 Male,950,Nursing episode,11108
2324,All Attendances by Age and Gender,18 Male,960,Allied Health Professional Episode,25157
2324,All Attendances by Age and Gender,18 Male,990,Joint Consultant Clinics (Retired 1 April 2004),2
2324,All Attendances by Age and Gender,19 All Genders,100,General Surgery,15042
2324,All Attendances by Age and Gender,19 All Genders,101,Urology,6487
2324,All Attendances by Age and Gender,19 All Genders,107,Vascular Surgery,41
2324,All Attendances by Age and Gender,19 All Genders,110,Trauma & Orthopaedics,43376
2324,All Attendances by Age and Gender,19 All Genders,120,"Ear, Nose & Throat (ENT)",17243
2324,All Attendances by Age and Gender,19 All Genders,130,Ophthalmology,17719
2324,All Attendances by Age and Gender,19 All Genders,140,Oral Surgery,6488
2324,All Attendances by Age and Gender,19 All Genders,141,Restorative Dentistry,3049
2324,All Attendances by Age and Gender,19 All Genders,142,Paediatric Dentistry,256
2324,All Attendances by Age and Gender,19 All Genders,143,Orthodontics,36482
2324,All Attendances by Age and Gender,19 All Genders,145,Oral & Maxillo Facial Surgery,4939
2324,All Attendances by Age and Gender,19 All Genders,146,Endodontics,105
2324,All Attendances by Age and Gender,19 All Genders,147,Periodontics,77
2324,All Attendances by Age and Gender,19 All Genders,148,Prosthodontics,12
2324,All Attendances by Age and Gender,19 All Genders,149,Surgical Dentistry,13
2324,All Attendances by Age and Gender,19 All Genders,150,Neurosurgery,1762
2324,All Attendances by Age and Gender,19 All Genders,160,Plastic Surgery,7663
2324,All Attendances by Age and Gender,19 All Genders,170,Cardiothoracic Surgery,556
2324,All Attendances by Age and Gender,19 All Genders,171,Paediatric Surgery,213
2324,All Attendances by Age and Gender,19 All Genders,180,Accident & Emergency (A&E),2014
2324,All Attendances by Age and Gender,19 All Genders,190,Anaesthetics,4756
2324,All Attendances by Age and Gender,19 All Genders,192,Critical Care Medicine,73
2324,All Attendances by Age and Gender,19 All Genders,300,General Medicine,17231
2324,All Attendances by Age and Gender,19 All Genders,301,Gastroenterology,11342
2324,All Attendances by Age and Gender,19 All Genders,302,Endocrinology,7505
2324,All Attendances by Age and Gender,19 All Genders,303,Clinical Haematology,7053
2324,All Attendances by Age and Gender,19 All Genders,304,Clinical Physiology,1045
2324,All Attendances by Age and Gender,19 All Genders,305,Clinical Pharmacology,45
2324,All Attendances by Age and Gender,19 All Genders,310,Audiological Medicine,1523
2324,All Attendances by Age and Gender,19 All Genders,311,Clinical Genetics,966
2324,All Attendances by Age and Gender,19 All Genders,313,Clinical Immunology & Allergy,1700
2324,All Attendances by Age and Gender,19 All Genders,314,Rehabilitation,1552
2324,All Attendances by Age and Gender,19 All Genders,315,Palliative Medicine,156
2324,All Attendances by Age and Gender,19 All Genders,317,Allergy,255
2324,All Attendances by Age and Gender,19 All Genders,320,Cardiology,12236
2324,All Attendances by Age and Gender,19 All Genders,321,Paediatric Cardiology,594
2324,All Attendances by Age and Gender,19 All Genders,325,Sports & Exercise Medicine,102
2324,All Attendances by Age and Gender,19 All Genders,326,Acute Internal Medicine,1557
2324,All Attendances by Age and Gender,19 All Genders,330,Dermatology,25579
2324,All Attendances by Age and Gender,19 All Genders,340,Respiratory Medicine (Thoracic Medicine),6175
2324,All Attendances by Age and Gender,19 All Genders,350,Infectious Diseases,964
2324,All Attendances by Age and Gender,19 All Genders,352,Tropical Medicine,5
2324,All Attendances by Age and Gender,19 All Genders,360,Genitourinary Medicine,666
2324,All Attendances by Age and Gender,19 All Genders,361,Nephrology,3440
2324,All Attendances by Age and Gender,19 All Genders,370,Medical Oncology,1722
2324,All Attendances by Age and Gender,19 All Genders,371,Nuclear Medicine,42
2324,All Attendances by Age and Gender,19 All Genders,400,Neurology,13199
2324,All Attendances by Age and Gender,19 All Genders,401,Clinical Neuro-physiology,1322
2324,All Attendances by Age and Gender,19 All Genders,410,Rheumatology,5621
2324,All Attendances by Age and Gender,19 All Genders,420,Paediatrics,5112
2324,All Attendances by Age and Gender,19 All Genders,421,Paediatric Neurology,222
2324,All Attendances by Age and Gender,19 All Genders,430,Geriatric Medicine,457
2324,All Attendances by Age and Gender,19 All Genders,450,Dental Medicine Specialties,1218
2324,All Attendances by Age and Gender,19 All Genders,451,Special Care Dentistry,131
2324,All Attendances by Age and Gender,19 All Genders,460,Medical Ophthalmology,162
2324,All Attendances by Age and Gender,19 All Genders,501,Obstetrics,31159
2324,All Attendances by Age and Gender,19 All Genders,502,Gynaecology,25949
2324,All Attendances by Age and Gender,19 All Genders,504,Community Sexual & Reproductive Health,8
2324,All Attendances by Age and Gender,19 All Genders,560,Midwife episode,40414
2324,All Attendances by Age and Gender,19 All Genders,600,General Medical Practice,643
2324,All Attendances by Age and Gender,19 All Genders,601,General Dental Practice,919
2324,All Attendances by Age and Gender,19 All Genders,700,Learning Disability (previously MH),1820
2324,All Attendances by Age and Gender,19 All Genders,710,Adult Mental Illness,21182
2324,All Attendances by Age and Gender,19 All Genders,711,Child & Adolescent Psychiatry,6213
2324,All Attendances by Age and Gender,19 All Genders,712,Forensic Psychiatry,229
2324,All Attendances by Age and Gender,19 All Genders,713,Psychotherapy,281
2324,All Attendances by Age and Gender,19 All Genders,715,Old Age Psychiatry,123
2324,All Attendances by Age and Gender,19 All Genders,800,Clinical Oncology (previously Radiotherapy),1328
2324,All Attendances by Age and Gender,19 All Genders,810,Radiology,24799
2324,All Attendances by Age and Gender,19 All Genders,820,General Pathology,75
2324,All Attendances by Age and Gender,19 All Genders,822,Chemical Pathology,193
2324,All Attendances by Age and Gender,19 All Genders,823,Haematology,769
2324,All Attendances by Age and Gender,19 All Genders,824,Histopathology,48
2324,All Attendances by Age and Gender,19 All Genders,830,Immunopathology,121
2324,All Attendances by Age and Gender,19 All Genders,831,Medical Microbiology & Virology,17
2324,All Attendances by Age and Gender,19 All Genders,833,Medical Microbiology (Microbiology & Bacteriology),6
2324,All Attendances by Age and Gender,19 All Genders,834,Medical Virology,83
2324,All Attendances by Age and Gender,19 All Genders,900,Community Medicine,817
2324,All Attendances by Age and Gender,19 All Genders,901,Occupational Medicine,166
2324,All Attendances by Age and Gender,19 All Genders,902,Community Health Services Dental,8
2324,All Attendances by Age and Gender,19 All Genders,950,Nursing episode,25232
2324,All Attendances by Age and Gender,19 All Genders,960,Allied Health Professional Episode,52479
2324,All Attendances by Age and Gender,19 All Genders,990,Joint Consultant Clinics (Retired 1 April 2004),16
2324,All Attendances by Age and Gender,19 Female,100,General Surgery,10221
2324,All Attendances by Age and Gender,19 Female,101,Urology,2479
2324,All Attendances by Age and Gender,19 Female,107,Vascular Surgery,25
2324,All Attendances by Age and Gender,19 Female,110,Trauma & Orthopaedics,15969
2324,All Attendances by Age and Gender,19 Female,120,"Ear, Nose & Throat (ENT)",9343
2324,All Attendances by Age and Gender,19 Female,130,Ophthalmology,9489
2324,All Attendances by Age and Gender,19 Female,140,Oral Surgery,3582
2324,All Attendances by Age and Gender,19 Female,141,Restorative Dentistry,1584
2324,All Attendances by Age and Gender,19 Female,142,Paediatric Dentistry,135
2324,All Attendances by Age and Gender,19 Female,143,Orthodontics,20316
2324,All Attendances by Age and Gender,19 Female,145,Oral & Maxillo Facial Surgery,2613
2324,All Attendances by Age and Gender,19 Female,146,Endodontics,42
2324,All Attendances by Age and Gender,19 Female,147,Periodontics,50
2324,All Attendances by Age and Gender,19 Female,148,Prosthodontics,9
2324,All Attendances by Age and Gender,19 Female,149,Surgical Dentistry,11
2324,All Attendances by Age and Gender,19 Female,150,Neurosurgery,880
2324,All Attendances by Age and Gender,19 Female,160,Plastic Surgery,3219
2324,All Attendances by Age and Gender,19 Female,170,Cardiothoracic Surgery,163
2324,All Attendances by Age and Gender,19 Female,171,Paediatric Surgery,86
2324,All Attendances by Age and Gender,19 Female,180,Accident & Emergency (A&E),1162
2324,All Attendances by Age and Gender,19 Female,190,Anaesthetics,3057
2324,All Attendances by Age and Gender,19 Female,192,Critical Care Medicine,28
2324,All Attendances by Age and Gender,19 Female,300,General Medicine,10074
2324,All Attendances by Age and Gender,19 Female,301,Gastroenterology,6121
2324,All Attendances by Age and Gender,19 Female,302,Endocrinology,4304
2324,All Attendances by Age and Gender,19 Female,303,Clinical Haematology,3712
2324,All Attendances by Age and Gender,19 Female,304,Clinical Physiology,642
